"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Searching for ""XYZABCD1234NOTREAL"" must produce zero result rows and show the empty-results indicator.","4975","TC03 - Search for a non-existent equity returns an empty results list","","2026-05-12","passed","2026-05-12","Search — Equities Search Functionality","search.spec.ts","",""
"After searching for ""Apple"", clicking More Information on the Apple INC row must navigate to the security detail page under /stocksreports/.","7364","TC02 - Search and click More Information navigates to the detail page","","2026-05-12","passed","2026-05-12","Search — Equities Search Functionality","search.spec.ts","",""
"The price and percentage change area must show a lock icon placeholder instead of live values. The ""Back to search results"" link must also be visible.","6914","TC04 - Price and percentage data is hidden behind lock icons for public users","","2026-05-12","passed","2026-05-12","Security Details are Restricted Content for Public Users","securityDetails.spec.ts","",""
"Clicking the BND Bonds tab must redirect to a URL containing ""bond"".","5818","TC04 - Clicking the Bonds tab navigates to the Bonds section","","2026-05-12","passed","2026-05-12","Navigation — Security Type Tabs","navigation.spec.ts","",""
"Typing ""Apple"" into the search box must return at least one matching EQ result row.","5073","TC01 - Search for a popular equity returns results","","2026-05-12","passed","2026-05-12","Search — Equities Search Functionality","search.spec.ts","",""
"Scrolling to the bottom must reveal the ""Experience better Investing"" heading, the ""Become a client"" button, and the sign-up invitation text.","7696","TC03 - Validate Become a client CTA for public users","","2026-05-12","passed","2026-05-12","Security Details are Restricted Content for Public Users","securityDetails.spec.ts","",""
"Verify the equities search page loads correctly with the Equities tab active by default and at least one EQ row visible in the results table.","3838","TC01 - Page loads on the Equities tab by default and shows a list of equities","","2026-05-12","passed","2026-05-12","Navigation — Security Type Tabs","navigation.spec.ts","",""
"Clicking the FND Funds tab must redirect to a URL containing ""fund"".","5112","TC02 - Clicking the Funds tab navigates to the Funds section","","2026-05-12","passed","2026-05-12","Navigation — Security Type Tabs","navigation.spec.ts","",""
"The Overview section must be present and all nine financial data fields must be visible but locked for unauthenticated users.","7827","TC02 - Overview section shows all financial fields locked for public users","","2026-05-12","passed","2026-05-12","Security Details are Restricted Content for Public Users","securityDetails.spec.ts","",""
"A public (non-logged-in) user viewing a security detail page must see the purple ""full functionality"" banner and the ""Become a customer"" CTA button.","7603","TC01 - Detail page shows full-functionality prompt to public users","","2026-05-12","passed","2026-05-12","Security Details are Restricted Content for Public Users","securityDetails.spec.ts","",""
"Clicking the ETF ETFs tab must redirect to a URL containing ""etf"".","4709","TC03 - Clicking the ETFs tab navigates to the ETFs section","","2026-05-12","passed","2026-05-12","Navigation — Security Type Tabs","navigation.spec.ts","",""
